date,portfolio_value,benchmark_value,daily_return
2024-09-25,13959.5111,13483.2274,0.006956
2024-09-26,14051.8892,13532.7884,0.006618
2024-09-27,13962.873,13495.5482,-0.006335
2024-09-30,13930.3163,13522.7074,-0.002332
2024-10-01,13990.5569,13567.7886,0.004324
2024-10-02,13920.5876,13538.9482,-0.005001
2024-10-03,14059.4678,13621.8282,0.009977
2024-10-04,14038.9622,13662.9894,-0.001458
2024-10-07,14024.9058,13650.9485,-0.001001
2024-10-08,14123.0365,13760.9898,0.006997
2024-10-09,14078.8244,13783.3905,-0.00313
2024-10-10,14181.3228,13834.9104,0.00728
2024-10-11,14257.5786,13948.8717,0.005377
2024-10-14,14173.1333,13916.9508,-0.005923
2024-10-15,14252.7668,13909.6705,0.005619
2024-10-16,14345.165,14031.6118,0.006483
2024-10-17,14400.2178,14016.9122,0.003838
2024-10-18,14309.0632,13962.5917,-0.00633
2024-10-21,14262.8294,13980.7915,-0.003231
2024-10-22,14200.9555,13934.5909,-0.004338
2024-10-23,14261.1526,13914.9908,0.004239
2024-10-24,14325.2347,13963.7111,0.004493
2024-10-25,14363.0372,13955.3114,0.002639
2024-10-28,14348.3721,13966.5118,-0.001021
2024-10-29,14251.624,13896.791,-0.006743
2024-10-30,13999.9481,13660.1888,-0.017659
2024-10-31,14142.0673,13761.2696,0.010151
2024-11-01,14012.1427,13647.3094,-0.009187
2024-11-04,14098.1127,13714.2295,0.006135
2024-11-05,14337.564,14143.6131,0.016985
2024-11-06,14523.6815,14227.6135,0.012981
2024-11-07,14594.0402,14329.8148,0.004844
2024-11-08,14751.2173,14489.416,0.01077
2024-11-11,14581.8801,14439.7151,-0.01148
2024-11-12,14615.4195,14493.6159,0.0023
2024-11-13,14603.8311,14479.616,-0.000793
2024-11-14,14600.3145,14290.6136,-0.000241
2024-11-15,14680.5507,14335.4139,0.005496
2024-11-18,14633.7882,14322.1147,-0.003185
2024-11-19,14617.5165,14330.5144,-0.001112
2024-11-20,14730.7394,14512.5163,0.007746
2024-11-21,14919.0799,14686.1174,0.012786
2024-11-22,14958.7898,14650.4164,0.002662
2024-11-25,14893.8298,14673.5168,-0.004343
2024-11-26,14807.6074,14551.7165,-0.005789
2024-11-27,14885.2901,14620.3167,0.005246
2024-11-28,15005.9529,14672.8171,0.008106
2024-11-29,15089.0729,14798.8184,0.005539
2024-12-02,15055.67,14788.3176,-0.002214
2024-12-03,15174.3926,14836.6182,0.007886
2024-12-04,15196.3099,14818.4184,0.001444
2024-12-05,15246.173,14825.4178,0.003281
2024-12-06,15209.9184,14777.1184,-0.002378
2024-12-09,15152.8134,14805.8178,-0.003754
2024-12-10,15264.2475,14891.9192,0.007354
2024-12-11,15229.4589,14854.819,-0.002279
2024-12-12,15164.1945,14783.4181,-0.004285
2024-12-13,15176.007,14810.7183,0.000779
2024-12-16,15094.2776,14768.0179,-0.005385
2024-12-17,15010.0825,14796.0177,-0.005578
2024-12-18,14804.9909,14560.8158,-0.013664
2024-12-19,14776.4767,14593.7162,-0.001926
2024-12-20,14833.2567,14560.1162,0.003843
2024-12-23,14849.5884,14560.1162,0.001101
2024-12-24,14849.27,14560.1162,-2.1e-05
2024-12-26,14869.6361,14638.5165,0.001372
2024-12-27,14763.0118,14502.7152,-0.007171
2024-12-30,14733.416,14502.7152,-0.002005
2024-12-31,14977.3395,14751.2174,0.016556
2025-01-02,15000.8759,14723.9172,0.001571
2025-01-03,15177.1486,14806.5185,0.011751
2025-01-06,15101.5649,14700.8169,-0.00498
2025-01-07,15030.4169,14711.3177,-0.004711
2025-01-08,15043.1433,14726.0172,0.000847
2025-01-09,14877.731,14580.4159,-0.010996
2025-01-10,14840.8969,14562.2161,-0.002476
2025-01-13,14857.2956,14535.6156,0.001105
2025-01-14,15169.4005,14764.5177,0.021007
2025-01-15,15215.9929,14810.7183,0.003071
2025-01-16,15392.4767,14938.8195,0.011599
2025-01-17,15398.8801,14870.2182,0.000416
2025-01-20,15446.293,14879.3186,0.003079
2025-01-21,15563.8374,15006.0194,0.00761
2025-01-22,15660.8402,15024.9199,0.006233
2025-01-23,15620.9855,14957.7189,-0.002545
2025-01-24,15328.6551,14714.8179,-0.018714
2025-01-27,15418.5628,14901.0186,0.005865
2025-01-28,15506.533,14955.6189,0.005705
2025-01-29,15614.7562,14996.9201,0.006979
2025-01-30,15669.5625,15145.3209,0.00351
2025-01-31,15478.3885,15008.82,-0.0122
2025-02-03,15489.3582,15007.4197,0.000709
2025-02-04,15537.8765,14973.8198,0.003132
2025-02-05,15655.5667,15139.7207,0.007574
2025-02-06,15683.7038,15102.6205,0.001797
2025-02-07,15799.4321,15197.8213,0.007379
2025-02-10,15755.3602,15162.1214,-0.002789
2025-02-11,15738.0504,15057.1206,-0.001099
2025-02-12,15917.4338,15134.8213,0.011398
2025-02-13,15891.3232,15101.9209,-0.00164
2025-02-14,16011.2047,15178.2213,0.007544
2025-02-17,16090.7012,15187.3217,0.004965
2025-02-18,16008.4381,15234.2219,-0.005112
2025-02-19,15907.7593,15083.0205,-0.006289
2025-02-20,15842.5837,15099.1203,-0.004097
2025-02-21,15737.5997,14935.3192,-0.006627
2025-02-24,15528.7145,14705.0179,-0.013273
2025-02-25,15763.288,14894.7188,0.015106
2025-02-26,15663.7425,14923.4193,-0.006315
2025-02-27,15620.342,14773.6181,-0.002771
2025-02-28,15681.5285,14807.2181,0.003917
2025-03-03,15233.1164,14327.0142,-0.028595
2025-03-04,15458.4872,14108.6128,0.014795
2025-03-05,15442.5345,14136.6126,-0.001032
2025-03-06,15187.0154,13880.8311,-0.016546
2025-03-07,14937.4082,13773.3095,-0.016436
2025-03-10,14762.6439,13503.6681,-0.0117
2025-03-11,14966.9256,13640.5887,0.013838
2025-03-12,14881.2483,13547.0681,-0.005724
2025-03-13,15149.123,13703.5899,0.018001
2025-03-14,15275.598,13755.3896,0.008349
2025-03-17,15287.7317,13699.389,0.000794
2025-03-18,15360.1771,13841.6299,0.004739
2025-03-19,15315.7412,13892.0304,-0.002893
2025-03-20,15237.5395,13847.2301,-0.005106
2025-03-21,15370.9414,14095.3125,0.008755
2025-03-24,15402.6907,14121.2124,0.002066
2025-03-25,15250.887,14054.0125,-0.009856
2025-03-26,15138.4213,13991.1512,-0.007374
2025-03-27,14845.4574,13694.9092,-0.019352
2025-03-28,14615.9008,13605.0288,-0.015463
2025-03-31,14798.8785,13767.1497,0.012519
2025-04-01,14803.2184,13754.2702,0.000293
2025-04-02,14202.9457,13078.0646,-0.04055
2025-04-03,13462.2201,12467.0999,-0.052153
2025-04-04,13173.0115,12136.977,-0.021483
